Date,Strategy_Return,Benchmark_Return,Strategy_Cumulative,Benchmark_Cumulative
2025-04-20 00:00:00,0.02518830859744714,0.008206579353063681,1.0251883085974471,1.0082065793530637
2025-04-21 00:00:00,0.007739789065152491,-0.000628439937643166,1.033123049858052,1.0075729820732036
2025-04-22 00:00:00,-0.01629715799683662,0.02796277215686449,1.0162860802843416,1.035747515802329
2025-04-23 00:00:00,0.07891356123833426,0.07002830815051597,1.0964848341165268,1.108279162005066
2025-04-24 00:00:00,-0.06733651584360978,0.00031296882828080186,1.0226513657117615,1.1086260188358068
2025-04-24 04:43:29,0.0,-0.009940819920186583,1.0226513657117615,1.0976053672237267
2025-04-24 04:43:49,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:43:53,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:43:58,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:44:00,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:44:04,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:45:20,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:45:23,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:45:29,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:45:35,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:45:36,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:46:55,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:47:02,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:47:03,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:47:04,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:48:28,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:48:32,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:48:34,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:48:45,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:49:57,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:04,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:05,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:07,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:09,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:48,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:52,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:50:55,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:51:40,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:52:05,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:52:31,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:52:53,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:53:08,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:53:10,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:54:17,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:54:32,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:54:41,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:54:44,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:55:43,0.0,0.0,1.0226513657117615,1.0976053672237267
2025-04-24 04:58:44,0.005418174999749725,0.0,1.0281922697749208,1.0976053672237267
2025-04-24 04:58:46,0.0,0.0,1.0281922697749208,1.0976053672237267
2025-04-24 04:58:50,0.0,0.0,1.0281922697749208,1.0976053672237267
2025-04-24 04:58:52,0.0,0.0,1.0281922697749208,1.0976053672237267
2025-04-24 04:58:57,0.0,0.0,1.0281922697749208,1.0976053672237267
2025-04-24 06:17:28,0.11629849090816569,0.0,1.1477694791131856,1.0976053672237267
2025-04-24 06:17:29,-0.0006594609611427771,0.0,1.1470125699493192,1.0976053672237267
