Date,Coin,Momentum
2025-04-19,alchemist-ai,0.8421716036466032
2025-04-19,everipedia,0.38895731289839475
2025-04-19,aioz-network,0.2819096821097693
2025-04-20,alchemist-ai,0.30382367302763646
2025-04-20,morphware,0.23456313009750263
2025-04-20,aioz-network,0.20850155100041445
2025-04-21,alchemist-ai,0.36633133631806314
2025-04-21,morphware,0.1760640643011131
2025-04-21,ocean-protocol,0.1689900139402234
2025-04-22,nosana,0.31871666746375404
2025-04-22,bittensor,0.31782780719770876
2025-04-22,fetch-ai,0.21768607974970466
2025-04-23,bittensor,0.3289108210377045
2025-04-23,cortex-2,0.31016102086276787
2025-04-23,singularitynet,0.27244313082751104
2025-04-24,cortex-2,0.5400170387547643
2025-04-24,morphware,0.508005784666314
2025-04-24,nosana,0.4737936791083375
